time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-12-30T06:00:10.700Z,36.5904,-98.3799,5.458,3.3,ml,,80,,0.57,us,us10004ade,2016-02-04T12:12:31.040Z,"10km WNW of Helena, Oklahoma",earthquake,1.7,6.4,,,reviewed,tul,tul
2015-12-30T05:44:20.410Z,38.9667,74.6956,54.75,4.4,mb,,112,2.304,0.72,us,us10004adc,2016-02-02T14:07:41.040Z,"98km E of Karakul, Tajikistan",earthquake,8.1,8.7,0.138,15,reviewed,us,us
2015-12-30T05:14:50.000Z,36.0744,-97.3508,6.075,2.6,ml,,75,,0.49,us,us10004ad9,2016-02-04T12:08:40.040Z,"16km NNW of Langston, Oklahoma",earthquake,1.1,7.5,,,reviewed,tul,tul
2015-12-30T04:35:51.400Z,18.0478,-65.568,20,2.8,Md,5,226.8,0.05030566,0.17,pr,pr15364002,2016-02-02T01:51:50.040Z,"11km WSW of Esperanza, Puerto Rico",earthquake,1.8,0.8,0,3,reviewed,pr,pr
2015-12-30T03:56:56.120Z,19.3878333,-155.2448333,2.861,2.83,ml,45,45,0.006536,0.08,hv,hv61138171,2016-02-02T00:26:03.040Z,"4km S of Volcano, Hawaii",earthquake,0.15,0.14,0.142,17,reviewed,hv,hv
2015-12-30T03:45:08.200Z,36.729,-98.0094,6.625,3.7,ml,,71,,0.46,us,us10004acq,2016-02-07T21:48:54.424Z,"26km WSW of Medford, Oklahoma",earthquake,1.9,1.5,,,reviewed,tul,tul
2015-12-30T03:25:34.030Z,14.137,-91.1098,81.05,5,mwr,,131,0.685,0.83,us,us10004acp,2016-02-07T22:05:04.040Z,"8km NW of La Gomera, Guatemala",earthquake,7,1.7,0.069,20,reviewed,us,us
2015-12-30T02:58:36.450Z,-34.4192,-109.3543,10,5,mb,,65,28.974,0.8,us,us10004aci,2016-01-12T01:26:08.137Z,"Southern East Pacific Rise",earthquake,14.7,1.8,0.053,114,reviewed,us,us
2015-12-30T02:28:08.150Z,41.7416,144.2974,30.61,4.1,mb,,183,0.894,0.68,us,us10004bti,2016-01-12T01:24:11.743Z,"137km S of Kushiro, Japan",earthquake,7.9,7.3,0.184,8,reviewed,us,us
2015-12-30T02:18:15.510Z,34.189,-117.4108333,7.84,2.81,ml,114,23,0.08274,0.21,ci,ci37507696,2016-01-06T04:16:50.741Z,"4km SSW of Devore, California",earthquake,0.13,0.47,0.137,250,reviewed,ci,ci
2015-12-30T02:17:57.200Z,18.9295,-65.7136,32,2.9,Md,15,234,0.66834657,0.23,pr,pr15364000,2016-01-12T01:12:14.040Z,"57km NNE of Vieques, Puerto Rico",earthquake,1.2,6.1,0,13,reviewed,pr,pr
2015-12-30T01:55:14.000Z,34.188,-117.41,7.3,3.02,ml,112,23,0.09138,0.2,ci,ci37507608,2016-01-11T06:09:20.040Z,"4km SSW of Devore, California",earthquake,0.12,0.53,0.142,213,reviewed,ci,ci
2015-12-30T01:54:46.200Z,34.1855,-117.4073333,7.8,2.53,ml,72,27,0.08663,0.17,ci,ci37507600,2015-12-31T00:02:45.607Z,"4km S of Devore, California",earthquake,0.15,0.57,0.155,17,reviewed,ci,ci
2015-12-30T01:53:45.550Z,34.1876667,-117.408,8.49,3.77,mw,120,23,0.0915,0.22,ci,ci37507592,2016-02-07T21:47:24.040Z,"4km S of Devore, California",earthquake,0.12,0.45,,6,reviewed,ci,ci
2015-12-30T01:48:57.310Z,34.191,-117.4131667,6.98,4.4,mw,140,23,0.08052,0.25,ci,ci37507576,2016-02-16T09:35:07.747Z,"4km SSW of Devore, California",earthquake,0.14,0.51,,6,reviewed,ci,ci
2015-12-30T00:33:17.200Z,35.6758,-97.3964,5.998,2.6,ml,,66,,0.75,us,us10004aby,2016-02-01T02:48:20.040Z,"7km ENE of Edmond, Oklahoma",earthquake,1.2,4,,,reviewed,tul,tul
2015-12-30T00:31:43.640Z,-6.2962,149.1826,54.4,4.4,mb,,80,3.631,0.6,us,us10004btg,2016-01-11T05:38:58.182Z,"41km WSW of Kandrian, Papua New Guinea",earthquake,6.6,9.3,0.143,14,reviewed,us,us
2015-12-30T00:11:57.000Z,59.9755,-153.3559,132.5,2.7,ml,,,,0.52,ak,ak12337827,2016-01-11T04:53:56.040Z,"66km SSW of Redoubt Volcano, Alaska",earthquake,0.3,0.3,,,reviewed,ak,ak
2015-12-29T23:52:11.600Z,35.6631,-97.3982,6.65,2.8,ml,,53,,0.61,us,us10004abr,2016-01-11T04:45:05.785Z,"7km E of Edmond, Oklahoma",earthquake,1.7,7.2,,,reviewed,tul,tul
2015-12-29T23:36:18.430Z,-40.613,176.0554,36.37,4.8,mb,,97,0.159,0.79,us,us10004abn,2016-01-11T04:42:00.619Z,"34km NNW of Castlepoint, New Zealand",earthquake,5.7,5.7,0.134,17,reviewed,us,us
2015-12-29T23:35:41.000Z,60.1129,-153.245,129.7,2.5,ml,,,,0.5,ak,ak12337804,2016-01-11T02:05:38.040Z,"49km SW of Redoubt Volcano, Alaska",earthquake,0.3,0.3,,,reviewed,ak,ak
2015-12-29T22:40:20.000Z,35.9401,-97.2937,5.078,2.6,ml,,66,,0.68,us,us10004abe,2016-01-27T01:22:12.466Z,"3km W of Langston, Oklahoma",earthquake,1.5,7.2,,,reviewed,tul,tul
2015-12-29T22:36:04.770Z,-41.1803,44.2212,10,4.6,mb,,53,7.618,0.9,us,us10004brs,2016-01-27T06:31:11.054Z,"Crozet Islands region",earthquake,11.8,1.9,0.112,24,reviewed,us,us
2015-12-29T22:17:47.900Z,35.9424,-97.2991,6.66,3.3,ml,,66,,0.49,us,us10004aba,2016-01-27T05:22:25.594Z,"3km W of Langston, Oklahoma",earthquake,2.9,7.5,,,reviewed,tul,tul
2015-12-29T21:40:47.000Z,35.6702,-97.4075,6.254,3.3,ml,,52,,0.52,us,us10004ab5,2016-01-24T06:27:39.170Z,"6km ENE of Edmond, Oklahoma",earthquake,1.6,5.7,,,reviewed,tul,tul
2015-12-29T21:28:30.670Z,-56.3193,-26.8903,103.78,4.7,mb,,57,5.849,0.59,us,us10004brq,2016-01-27T04:47:59.406Z,"46km NNE of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,11.5,1.9,0.094,34,reviewed,us,us
2015-12-29T21:21:55.820Z,40.6046667,-124.4275,28.36,2.84,ml,23,228,0.128,0.08,nc,nc72571340,2016-01-08T04:45:54.691Z,"14km WNW of Ferndale, California",earthquake,0.75,0.51,0.27,19,reviewed,nc,nc
2015-12-29T21:08:17.420Z,-14.9135,167.5037,127.47,4.4,mb,,149,0.604,0.94,us,us10004brn,2016-01-27T04:30:09.870Z,"51km ENE of Port-Olry, Vanuatu",earthquake,14.5,6.5,0.156,12,reviewed,us,us
2015-12-29T20:43:16.700Z,35.6632,-97.3956,6.336,2.7,ml,,53,,0.78,us,us10004aa7,2016-02-03T20:27:21.040Z,"7km E of Edmond, Oklahoma",earthquake,0.7,4.8,,,reviewed,tul,tul
2015-12-29T20:27:25.500Z,35.6632,-97.3978,6.286,3,ml,,53,,0.64,us,us10004a9y,2016-02-09T14:19:23.040Z,"7km E of Edmond, Oklahoma",earthquake,2.2,7.3,,,reviewed,tul,tul
